	Sehr zufrieden	Eher zufrieden	Eher unzufrieden	Sehr unzufrieden	Weiss nicht	Keine Angabe
2003	288	657	434	102	14	0
2005	365	665	401	72	5	0
2007	266	623	489	123	3	0
2011	464	595	373	81	0	1
2015	428	698	319	53	6	0
2019	806	798	281	80	5	92
