Jahr	Sekundarstufe 1	Sekundarstufe 2	Tertiärstufe
1970	63919	87821	14879
1980	50791	70332	17192
1990	58804	80648	22227
2000	45308	63483	31059
2010	39192	62023	48517
2011	40675	62926	52529
2012	37853	63654	54797
2013	39129	63228	57615
2014	38152	62642	60432
2015	38509	61450	61871
