	Sehr zufrieden	Eher zufrieden	Eher unzufrieden	Sehr unzufrieden	Weiss nicht / keine Angabe
Einpersonenhaushalt	41.3	45.5	6.5	2.2	4.5
Mehrpersonenhaushalt	45.6	42.7	6.9	0.9	3.9
.					
Männlich	47.7	40.1	6.1	1.6	4.5
Weiblich	39.6	48.2	7.7	1	3.7
..					
55-64	46.8	40.9	7.1	1.3	4
65-74	43.8	47.6	3.6	1.5	3.6
>74	42.1	42.5	9.5	1.3	4.5
...					
Schweiz	44.8	43.2	6.6	1.1	4.3
Ausland	36.4	47.7	9.3	3.7	2.8
....					
<5000 Fr.	39.6	45.6	6.7	2.2	5.8
5000- 7499 Fr.	46.5	43.1	7	0.9	2.4
>7499 Fr.	49.7	39.4	6.9	1.1	2.9
.....					
Grossbasel Ost	44.8	44.8	4.2	1.5	4.7
Grossbasel West	44.7	42.5	8.7	0.7	3.4
Kleinbasel	43.8	43.1	7.3	1	4.9
Riehen, Bettingen	43.7	45.6	6.3	2	2.4
......					
2011	39.9	45.4	7.1	1.1	6.6
2015	44.1	43.7	6.8	1.3	4.1
