Jahr	Schweizer	95 Vertrauensintervall 	95 Vertrauensintervall Obergrenze	Schweizerinnen	95 Vertrauensintervall 	95 Vertrauensintervall Obergrenze	Ausländer	95 Vertrauensintervall 	95 Vertrauensintervall Obergrenze	Ausländerinnen	95 Vertrauensintervall 	95 Vertrauensintervall Obergrenze
1990	86.61			61.12			89.05			65.49		
2000	83.11			70.88			83.75			72.86		
2011-2015	79.96	78.93	80.99	75.72	74.68	76.76	84.93	83.42	86.44	71.61	70.10	73.12
