""	"Bestand Grenzgänger"	"Bestand Meldepflichtige in VZÄ"
"2014-01"	933	59
"2014-02"	869	40
"2014-03"	907	43
"2014-04"	921	69
"2015-01"	960	70
"2015-02"	986	56
"2015-03"	1067	63
"2015-04"	1071	72
"2016-01"	1102	77
"2016-02"	1086	53
"2016-03"	1123	50
"2016-04"	1118	50
"2017-01"	1064	74
"2017-02"	1155	57
"2017-03"	1182	44
"2017-04"	1179	43
"2018-01"	1121	59
"2018-02"	1238	39
"2018-03"	1236	34
"2018-04"	1203	36
"2019-01"	1254	52
"2019-02"	1250	47
"2019-03"	1296	49
"2019-04"	1308	56
"2020-01"	1332	69
"2020-02"	1374	37
"2020-03"	1344	26
"2020-04"	1290	28
"2021-01"	1357	29
"2021-02"	1277	30
"2021-03"	1321	25
"2021-04"	1345	26
"2022-01"	1454	22
"2022-02"	1469	24
"2022-03"	1499	28
"2022-04"	1465	27
"2023-01"	1502	31
"2023-02"	1545	28
"2023-03"	1509	23
"2023-04"	""	17

