Jahr	Schweiz	Ausland	18-29 J.	30-39 J.	40-49 J.	50-59 J.	>69 J.	Männer	Männer	Total
2003	79.055118110236	83.495145631067	83.495145631067	74.347826086956	73.003802281368	78.326996197718	84.172661870503	82.835820895522	82.835820895522	79.674796747967
2005	83.61801242236	81.159420289855	87.892376681614	75.446428571428	77.319587628865	84.03041825095	90.196078431372	85.100286532951	85.100286532951	83.277591973244
2007	81.079027355623	82.183908045977	86.255924170616	78.857142857142	74.137931034482	77.818181818181	85.840707964601	81.432748538011	81.432748538011	81.208053691275
2011	84.406516679596	86.448598130841	88.135593220338	78.823529411764	81.27659574468	84.814814814814	86.889460154241	85.500747384155	85.500747384155	84.697272122421
2015	86.280487804878	90.751445086705	91.578947368421	81.666666666666	79.768786127167	83.703703703703	90.2	87.758112094395	87.758112094395	86.801346801346
2003_n	1270	206	206	230	263	263	278	670	670	1476
2005_n	1288	207	223	224	291	263	255	698	698	1495
2007_n	1316	174	211	175	232	275	339	684	684	1490
2011_n	1289	214	177	170	235	270	389	669	669	1503
2015_n	1312	173	95	120	173	270	500	678	678	1485
