JAHR	Klybeck	Kleinhüningen
2000	22.7	30.3
2001	22.7	30.9
2002	21.7	29.8
2003	21.4	29.3
2004	21.1	28.3
2005	21.2	27.1
2006	21.4	26.9
2007	21.4	28.5
2008	20.8	29.0
2009	20.6	27.6
2010	20.7	28.9
2011	20.5	29.4
2012	20.4	28.0
2013	20.9	27.8
2014	20.6	28.0
2015	20.1	28.2
2016	20.6	28.1
2017	20.3	28.5
2018	20.9	29.4
