"Kanton"	"2014"	"95% Konfidenzintervall Obergrenze"	"95% Konfidenzintervall Untergrenze"	"2015"	"95% Konfidenzintervall Obergrenze"	"95% Konfidenzintervall Untergrenze"	"2016"	"95% Konfidenzintervall Obergrenze"	"95% Konfidenzintervall Untergrenze"	"2017"	"95% Konfidenzintervall Obergrenze"	"95% Konfidenzintervall Untergrenze"
"Basel-Stadt"	67.7546	70.4754	65.0339	66.4025	69.2011	63.6039	72.7308	75.3648	70.0968	71.7323	74.4013	69.0634
"Basel-Landschaft"	74.3510	76.3365	72.3654	74.9178	76.8492	72.9863	75.5900	77.5885	73.5914	76.7547	78.6487	74.8608
"Jura"	72.0209	74.8679	69.1738	68.8233	73.1112	64.5354	70.1859	74.2853	66.0864	69.8399	74.0482	65.6317
"BS/BL/JU"	71.8209	73.2672	70.3746	71.2795	72.7826	69.7765	73.9187	75.4037	72.4338	74.1774	75.6348	72.7200
"Schweiz"	75.3518	75.6842	75.0194	75.3794	75.7188	75.0399	75.6075	75.9432	75.2718	76.5141	76.8443	76.1839

