Jahr	Mietpreisindex	Index Median Einkommen
1995	97.2	103.2
1996	99	100.8
1997	98.8	100
1998	99	99.8
1999	99.5	99.8
2000	101.2	100
2001	102.9	103.6
2002	103.8	104.7
2003	104.3	104.2
2004	105.3	103.3
2005	106.3	102.6
2006	107.6	102.7
2007	110.1	104.7
2008	112.6	100.3
2009	114.7	101.4
2010	115.8	101.6
2011	117	102.2
2012	117.5	102.3
2013	118.8	103.2
2014	119.5	103.7
2015	120.9	103.9
2016	122.8	104.3
2017	124.3	104.8
2018	125.7	105
2019	127.4	105.5
2020	128.8	
2021	129.8	
2022	131.4	
