Jahr	Bern	Genf	Liestal	Zürich	Basel
2006	149199	184588	201929	149325	192780
2007	149199	184588	201929	149331	192780
2008	146553	184588	147401	147698	183575
2009	149199	179270	141981	147698	177304
2010	149019	179166	134148	147698	177304
2011	146744	178617	138874	147686	170961
2012	146744	178617	138874	147686	167756
2013	146744	178617	138874	147400	164520
2014	146744	178617	138874	147400	164520
2015	146744	178506	138874	147400	164520
