"Jahr"	"Hohes Szenario"	"Mittleres Szenario"	"Tiefes Szenario"
"2019-2020"	95457	70093	32645
"2021-2025"	472527	266989	76449
"2026-2030"	455265	218902	46914
"2031-2035"	215823	110518	19467
"2036-2040"	237669	97592	6320

