Land	Anteil
Schweiz	0.507061695915936
Deutschland	0.16777144080775
Vereinigte Staaten	0.0376668393772477
Vereinigtes Königreich	0.037972747417467
Frankreich	0.0490829450531802
Italien	0.0219603734372401
Spanien	0.0129857963073076
Niederlande	0.0276655583873293
Indien	0.00806258878502886
China, Hongkong, Taiwan	0.00427888871256689
Übrige Länder	0.125491125798946

