Jahr	DCH	NWCH	Kanton Basel-Stadt	Stadt Basel	Riehen	Bettingen
2017	5.21	5.27	5.84	6.05	5.28	4.67
2018	5.26	5.31	5.94	6.05	5.14	4.98
2019	5.33	5.47	6.09	6.19	5.37	4.93
2020	5.40	5.55	6.20	6.34	5.27	4.85
2021	5.50	5.70	6.35	6.47	5.47	5.76
2022	5.60	5.71	6.41	6.51	5.64	6.32
