Wohnviertel_ID	Wohnviertel_Name	Sozialhilfequote in %	Anzahl Sozialhilfebezüger
1	Altstadt Grossbasel	1.2875536481	3
2	Vorstädte	9.5890410959	49
3	Am Ring	4.9226441632	70
4	Breite	12.378426172	140
5	St. Alban	7.0767555797	130
6	Gundeldingen	14.226804124	345
7	Bruderholz	2.4311183144	45
8	Bachletten	4.369825207	95
9	Gotthelf	7.3929961089	76
10	Iselin	20.084162204	525
11	St. Johann	14.275717285	408
12	Altstadt Kleinbasel	11.440677966	27
13	Clara	20.042643923	94
14	Wettstein	7.917888563	54
15	Hirzbrunnen	8.7315634218	148
16	Rosental	18.263718264	223
17	Matthäus	20.913242009	458
18	Klybeck	25.139220366	316
19	Kleinhüningen	23.300970874	120
20	Riehen	1.269035533	50
30	Bettingen	6.2801932367	13
