Branche	Basel-Stadt	Basel-Landschaft	Zürich
﻿Chemische Industrie	0.203052123871167	0.121580687712888	3.85356317994416E-02
﻿Pharmazeutische Industrie	0.318413896759043	0.25017661387985	3.92193885967634E-02
Elektronik. Optik und Maschinenbau	0.102714474434874	0.161724239310384	0.319768448620573
Medizinaltechnik	3.46627470267944E-02	5.05045887613937E-02	4.05095020619088E-02
