"CityDescr"	"Gesamte Agglomeration"	"Kernstadt"	"Übrige Agglomerationsgemeinden Schweiz"	"Agglomerationsgemeinden Deutschland"	"Agglomerationsgemeinden Frankreich"
Basel	79.64	79.3	79.79	77.04	77.96
Bern	84.42	85.31	84		
Genève	76.08	77.79	75.21		80.64
Lausanne	78.77	78.7	78.8		
Zürich	83.46	84.55	82.98		
