Herkunftsland	Veränderung der Logiernächte 2020 gegenüber dem Mittelwert 2009-2013	Anteile am Übernachtungsvolumen 2020	Wachstumsbeitrag
Schweiz	-15.0	50.7	8.5
Deutschland	-54.5	16.8	19.0
USA	-81.3	3.8	15.5
UK	-75.6	3.8	11.2
Frankreich	-47.5	4.9	4.2
Italien	-73.3	2.2	5.7
Spanien	-71.6	1.3	3.1
Niederlande	-51.1	2.8	2.7
Indien	-63.8	0.8	1.4
VR China	-85.0	0.4	2.3
