	Pendulaires sortants	Pendulaires entrants
"Bâle-Ville"	39644	14801
"Argovie"	5782	7158
"Soleure"	4229	7248
"Berne"	1321	647
"Autres cantons"	2873	1896
"Étranger"	229	22258

