Jahr	Basel-Stadt	Rot	Rot 2	Gelb	Gelb 2	Grün	Grün 2
2017	85.4	75	90	90	95	95	100
2018	85.3	75	90	90	95	95	100
2019	85	75	90	90	95	95	100
