"Codegeo"	"GemeindeDescr"	"Jugendquotient"
99968273	Riespach	29.4
99968284	Roppentzwiller	35.7
99968286	Rosenau	37.8
99968297	Saint-Louis	42
99968309	Sierentz	35.7
99968312	Sondersdorf	35.7
99968325	Steinsoultz	39.9
99968327	Stetten	44.1
99968333	Tagsdorf	42
99968341	Uffheim	35.7
99968347	Vieux-Ferrette	48.3
99968349	Village-Neuf	37.8
99968353	Wahlbach	42
99968355	Waldighofen	39.9
99968357	Waltenheim	39.9
99968362	Wentzwiller	37.8
99968363	Werentzhouse	29.4
99968380	Wolschwiller	29.4
99968382	Zaessingue	44.1
