Wohnviertel_Id	wohnviertel_name	Anzahl	Anteil
01	Altstadt Grossbasel	2	0.5076142132
02	Vorstädte	5	1.0822510823
03	Am Ring	18	1.5887025596
04	Breite	19	2.8875379939
05	St. Alban	74	6.5198237885
06	Gundeldingen	27	1.9230769231
07	Bruderholz	356	16.912114014
08	Bachletten	383	15.412474849
09	Gotthelf	25	2.5826446281
10	Iselin	18	1.2413793103
11	St. Johann	20	1.329787234
12	Altstadt Kleinbasel	5	1.953125
13	Clara	1	0.4366812227
14	Wettstein	43	6.1781609195
15	Hirzbrunnen	95	6.00505689
16	Rosental	3	0.9677419355
17	Matthäus	14	1.2291483758
18	Klybeck	4	0.9345794393
19	Kleinhüningen	7	4.4025157233
20	Riehen	489	11.533018868
30	Bettingen	69	21.766561514
