""	"Mittlere jährliche Arbeitslosenquote"	"Monatliche Anzahl Arbeitslose (rechte Skala)"
"2014-01"	0.052820	9
"2014-02"	0.052820	9
"2014-03"	0.052820	9
"2014-04"	0.052820	11
"2014-05"	0.052820	14
"2014-06"	0.052820	15
"2014-07"	0.052820	18
"2014-08"	0.052820	14
"2014-09"	0.052820	14
"2014-10"	0.052820	14
"2014-11"	0.052820	18
"2014-12"	0.052820	21
"2015-01"	0.072866	22
"2015-02"	0.072866	22
"2015-03"	0.072866	21
"2015-04"	0.072866	19
"2015-05"	0.072866	21
"2015-06"	0.072866	17
"2015-07"	0.072866	16
"2015-08"	0.072866	16
"2015-09"	0.072866	14
"2015-10"	0.072866	17
"2015-11"	0.072866	20
"2015-12"	0.072866	24
"2016-01"	0.090367	21
"2016-02"	0.090367	27
"2016-03"	0.090367	26
"2016-04"	0.090367	25
"2016-05"	0.090367	25
"2016-06"	0.090367	25
"2016-07"	0.090367	25
"2016-08"	0.090367	22
"2016-09"	0.090367	22
"2016-10"	0.090367	24
"2016-11"	0.090367	23
"2016-12"	0.090367	19
"2017-01"	0.085594	20
"2017-02"	0.085594	22
"2017-03"	0.085594	25
"2017-04"	0.085594	25
"2017-05"	0.085594	26
"2017-06"	0.085594	26
"2017-07"	0.085594	24
"2017-08"	0.085594	22
"2017-09"	0.085594	20
"2017-10"	0.085594	20
"2017-11"	0.085594	21
"2017-12"	0.085594	18
"2018-01"	0.085594	22
"2018-02"	0.085594	22
"2018-03"	0.085594	21
"2018-04"	0.085594	23
"2018-05"	0.085594	23
"2018-06"	0.085594	18
"2018-07"	0.085594	25
"2018-08"	0.085594	24
"2018-09"	0.085594	23
"2018-10"	0.085594	22
"2018-11"	0.085594	24
"2018-12"	0.085594	22
"2019-01"	0.059184	19
"2019-02"	0.059184	16
"2019-03"	0.059184	18
"2019-04"	0.059184	16
"2019-05"	0.059184	14
"2019-06"	0.059184	11
"2019-07"	0.059184	14
"2019-08"	0.059184	13
"2019-09"	0.059184	16
"2019-10"	0.059184	17
"2019-11"	0.059184	16
"2019-12"	0.059184	16
"2020-01"	0.071912	15
"2020-02"	0.071912	13
"2020-03"	0.071912	19
"2020-04"	0.071912	20
"2020-05"	0.071912	20
"2020-06"	0.071912	19
"2020-07"	0.071912	21
"2020-08"	0.071912	18
"2020-09"	0.071912	19
"2020-10"	0.071912	17
"2020-11"	0.071912	21
"2020-12"	0.071912	24
"2021-01"	0.101822	29
"2021-02"	0.101822	28
"2021-03"	0.101822	23
"2021-04"	0.101822	24
"2021-05"	0.101822	26
"2021-06"	0.101822	21
"2021-07"	0.101822	25
"2021-08"	0.101822	30
"2021-09"	0.101822	30
"2021-10"	0.101822	29
"2021-11"	0.101822	29
"2021-12"	0.101822	26
"2022-01"	0.100549	23
"2022-02"	0.100549	27
"2022-03"	0.100549	29
"2022-04"	0.100549	29
"2022-05"	0.100549	27
"2022-06"	0.100549	24
"2022-07"	0.100549	30
"2022-08"	0.100549	26
"2022-09"	0.100549	27
"2022-10"	0.100549	25
"2022-11"	0.100549	24
"2022-12"	0.100549	25
"2023-01"	0.105004	22
"2023-02"	0.105004	26
"2023-03"	0.105004	22
"2023-04"	0.105004	25
"2023-05"	0.105004	21
"2023-06"	0.105004	24
"2023-07"	0.105004	26
"2023-08"	0.105004	30
"2023-09"	0.105004	36
"2023-10"	0.105004	33
"2023-11"	0.105004	31
"2023-12"	0.105004	34

