""	"Mittlere jährliche Arbeitslosenquote"	"Monatliche Anzahl Arbeitslose (rechte Skala)"
"2014-01"	0.051978	99
"2014-02"	0.051978	88
"2014-03"	0.051978	86
"2014-04"	0.051978	93
"2014-05"	0.051978	83
"2014-06"	0.051978	79
"2014-07"	0.051978	80
"2014-08"	0.051978	72
"2014-09"	0.051978	73
"2014-10"	0.051978	76
"2014-11"	0.051978	72
"2014-12"	0.051978	80
"2015-01"	0.049011	82
"2015-02"	0.049011	79
"2015-03"	0.049011	79
"2015-04"	0.049011	79
"2015-05"	0.049011	83
"2015-06"	0.049011	84
"2015-07"	0.049011	72
"2015-08"	0.049011	74
"2015-09"	0.049011	72
"2015-10"	0.049011	70
"2015-11"	0.049011	76
"2015-12"	0.049011	75
"2016-01"	0.050389	79
"2016-02"	0.050389	80
"2016-03"	0.050389	76
"2016-04"	0.050389	77
"2016-05"	0.050389	74
"2016-06"	0.050389	75
"2016-07"	0.050389	73
"2016-08"	0.050389	83
"2016-09"	0.050389	80
"2016-10"	0.050389	85
"2016-11"	0.050389	82
"2016-12"	0.050389	87
"2017-01"	0.053409	85
"2017-02"	0.053409	88
"2017-03"	0.053409	96
"2017-04"	0.053409	102
"2017-05"	0.053409	97
"2017-06"	0.053409	89
"2017-07"	0.053409	80
"2017-08"	0.053409	75
"2017-09"	0.053409	77
"2017-10"	0.053409	76
"2017-11"	0.053409	69
"2017-12"	0.053409	74
"2018-01"	0.043925	74
"2018-02"	0.043925	67
"2018-03"	0.043925	61
"2018-04"	0.043925	62
"2018-05"	0.043925	67
"2018-06"	0.043925	60
"2018-07"	0.043925	66
"2018-08"	0.043925	68
"2018-09"	0.043925	75
"2018-10"	0.043925	77
"2018-11"	0.043925	77
"2018-12"	0.043925	75
"2019-01"	0.039156	67
"2019-02"	0.039156	64
"2019-03"	0.039156	57
"2019-04"	0.039156	67
"2019-05"	0.039156	66
"2019-06"	0.039156	59
"2019-07"	0.039156	63
"2019-08"	0.039156	63
"2019-09"	0.039156	57
"2019-10"	0.039156	59
"2019-11"	0.039156	56
"2019-12"	0.039156	61
"2020-01"	0.047316	64
"2020-02"	0.047316	53
"2020-03"	0.047316	67
"2020-04"	0.047316	75
"2020-05"	0.047316	76
"2020-06"	0.047316	84
"2020-07"	0.047316	80
"2020-08"	0.047316	75
"2020-09"	0.047316	69
"2020-10"	0.047316	80
"2020-11"	0.047316	79
"2020-12"	0.047316	91
"2021-01"	0.052031	97
"2021-02"	0.052031	94
"2021-03"	0.052031	94
"2021-04"	0.052031	101
"2021-05"	0.052031	89
"2021-06"	0.052031	86
"2021-07"	0.052031	81
"2021-08"	0.052031	75
"2021-09"	0.052031	65
"2021-10"	0.052031	65
"2021-11"	0.052031	68
"2021-12"	0.052031	67
"2022-01"	0.040004	73
"2022-02"	0.040004	77
"2022-03"	0.040004	73
"2022-04"	0.040004	74
"2022-05"	0.040004	66
"2022-06"	0.040004	58
"2022-07"	0.040004	57
"2022-08"	0.040004	58
"2022-09"	0.040004	55
"2022-10"	0.040004	55
"2022-11"	0.040004	60
"2022-12"	0.040004	49
"2023-01"	0.038361	56
"2023-02"	0.038361	58
"2023-03"	0.038361	57
"2023-04"	0.038361	61
"2023-05"	0.038361	62
"2023-06"	0.038361	61
"2023-07"	0.038361	59
"2023-08"	0.038361	58
"2023-09"	0.038361	57
"2023-10"	0.038361	63
"2023-11"	0.038361	67
"2023-12"	0.038361	65

