x	y	from	to	weight
2634500	-1253400	AG	BS	100
2645600	-1263400	BL	BS	100
2655700	-1263400	EU	BS	100
2665800	-1223400	CH	BS	100
2665800	-1267400	as	BS	100
2675900	-1266400	dd	BL	100
2675900	-1255400	rz	BL	100
