"Jahr"	"AG"	"BL"	"BS"	"CH"	"ZH"
2007	0.046	0.039	0.043	0.041	0.049
2008	0.037	0.027	0.026	0.023	0.011
2009	-0.022	-0.016	-0.028	-0.021	-0.025
2010	0.012	0.027	0.024	0.030	0.009
2011	0.012	0.013	0.037	0.018	0.012
2012	0.003	-0.015	0.023	0.010	0.012
2013	0.019	0.011	-0.004	0.018	0.024
2014	0.011	0.033	0.013	0.020	0.028
2015	0.002	0.000	0.013	0.008	-0.000
2016	0.017	0.008	0.023	0.013	0.010

