"Jahr"	"Anzahl Vorfälle"
2005	316
2006	274
2007	234
2008	457
2009	374
2010	383
2011	652
2012	689
2013	710
2014	747
2015	803
2016	1044
2017	1188
2018	1308
2019	1211
