"CityDescr"	"Kernstadt"	"CH Agglomerationsgürtel"	"DE Agglomerationsgürtel"	"FR Agglomerationsgürtel"
Basel	171017	545326	211493	94777
Bern	133115	282669		
Genève	198979	585400		317111
Lausanne	137810	277786		
Zürich	402762	951378		
