	Basel-Stadt	Basel-Landschaft	Jura	BS/BL/JU	Schweiz
2018	26470	111	1123	27704	31375
2019	29414	680	1142	31236	37194
2020	35109	-497	995	35607	42979
2021	42109	-691	1355	42773	58461
