Jahr	Total	Stadt Basel	Gemeinden Riehen/Bettingen	Ausserkantonal
2019	32837	24075	6909	1853
2020	24704	19115	4413	1176
2021	26557	19381	5898	1278
2022	25579	19566	4914	1099
2023	27450	20975	5479	996
