	Fussgängerzonen	Begegnungszonen
2010		7.8
2011		8.8
2012		11.1
2013		12
2014		15.8
2015	4.4	18.5
2016	4.4	20
2017	4.4	20.4
2018	4.4	21
2019	4.4	21.4
2020	4.7	22
