Branche	Basel-Stadt	Basel-Landschaft	Zürich
Chemische Industrie	0.182663779536024	0.102614514913152	0.063013016992523
Elektronik. Optik und Maschinenbau	0.147834530433661	0.172382728758813	0.346166562949119
Medizinaltechnik	5.41211514480445E-02	0.078012297789189	5.32347678984544E-02
Pharmazeutische Industrie	0.450363236976199	0.285530008637663	4.27376132461994E-02
