Jahr	Sehr zufrieden	Eher zufrieden	Eher unzufrieden	Sehr unzufrieden	keine Angabe
test	59.9	30.4	5	2.1	2.7
2013(n = 1049)	52.4	35.4	4.7	0.7	6.9
