Branche	Schweiz	Basel-Stadt	Genf	Zürich	Rank
Life Sciences	10	10	10	10	1
Herst. von chem. Erzeugn.	10	10	10	10	2
Baugewerbe	10	10	10	10	3
Handel und Garagengewerbe	10	10	10	10	4
Verkehr und Lagerei	10	10	10	10	5
Gastgewerbe	10	10	10	10	6
Finanz- & Versicherungsdl.	10	10	10	10	7
Freiberufl. & wiss. Dienstl.	10	10	10	10	8
Sonstige wirtschaftl. Dienstl.	10	10	10	10	9
Verwaltung	10	10	10	10	10
Gesundh.- & Sozialwesen	10	10	10	10	11
