	 Schweizer	 Ausländer	 Total
 Schweiz	18.78787879	-319.0909091	-300.3030303
 Ausland	-33.03030303	1029.090909	996.0606061
 Unbekannt	-97.57575758	-324.8484848	-422.4242424
 Total	-111.8181818	385.1515152	273.3333333
